"Date","Price","Open","High","Low","Vol.","Change %"
"01-02-1998","29.30","24.99","29.69","24.89","1.65M","17.77%"
"01-01-1998","24.88","31.72","31.89","24.22","2.80M","-21.14%"
"01-12-1997","31.55","35.56","35.61","30.56","2.55M","-8.76%"
"01-11-1997","34.58","35.61","36.06","32.39","5.95M","-3.16%"
"01-10-1997","35.71","37.22","39.89","33.89","3.22M","-3.38%"
"01-09-1997","36.96","32.47","42.11","30.17","22.67M","10.26%"
"01-08-1997","33.52","40.56","44.78","33.52","11.91M","-16.37%"
"01-07-1997","40.08","41.61","41.67","34.98","13.96M","-3.33%"
"01-06-1997","41.46","29.00","43.00","28.81","34.71M","42.92%"
"01-05-1997","29.01","27.67","29.39","27.12","15.76M","4.84%"
"01-04-1997","27.67","23.03","30.55","21.33","16.74M","20.15%"
"01-03-1997","23.03","23.21","29.28","23.02","15.88M","6.23%"
"01-02-1997","21.68","19.00","21.68","18.89","3.72M","11.81%"
"01-01-1997","19.39","17.78","22.83","17.78","3.23M","11.57%"
"01-12-1996","17.38","16.33","18.38","15.04","1.44M","5.21%"
"01-11-1996","16.52","19.00","19.77","15.72","2.03M","-12.64%"
"01-10-1996","18.91","19.37","22.22","14.43","5.50M","-2.43%"
"01-09-1996","19.38","26.56","27.89","19.38","18.75M","-26.14%"
"01-08-1996","26.24","25.11","27.78","23.56","5.55M","4.04%"
"01-07-1996","25.22","26.00","27.22","24.44","2.38M","-3.70%"
"01-06-1996","26.19","25.61","28.89","25.22","2.49M","2.26%"
"01-05-1996","25.61","27.56","28.33","23.33","1.80M","-7.08%"
"01-04-1996","27.56","23.61","28.33","23.22","1.78M","16.43%"
"01-03-1996","23.67","26.24","26.67","23.67","2.55M","-9.79%"
"01-02-1996","26.24","18.78","27.56","18.47","1.49M","39.72%"
"01-01-1996","18.78","18.89","19.33","17.99","745.20K","-0.58%"
"01-12-1995","18.89","20.22","20.56","18.22","694.80K","-5.60%"
"01-11-1995","20.01","23.50","24.56","18.67","606.60K","-14.85%"
"01-10-1995","23.50","30.00","33.33","22.78","360.90K","-20.80%"
"01-09-1995","29.67","45.22","45.22","26.46","57.60K","-33.74%"
